congress,Northern Democrats House,Total House,Northern Democrats Senate,Total Senate
66,92,434,24,96
67,35,435,15,96
68,109,435,22,96
69,87,435,21,96
70,109,434,24,96
71,70,435,20,96
72,121,435,25,95
73,216,431,39,96
74,232,435,53,96
75,246,435,56,96
76,161,434,49,96
77,173,435,44,96
78,124,435,36,96
79,141,435,36,96
80,83,434,29,96
81,159,435,31,96
82,133,435,23,96
83,114,435,25,96
84,133,435,27,96
85,135,435,28,95
86,185,437,43,100
87,165,437,43,100
88,163,434,44,100
89,205,435,47,100
90,166,434,43,100
91,163,435,39,100
92,176,435,39,100
93,167,433,43,100
94,210,435,46,100
95,211,435,46,100
96,200,435,43,100
97,175,435,36,100
98,190,435,35,100